title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
雅马哈 SE 5MRO Y15ZR LC V8 FI 扰流板座椅杆 蓝色 黑色 NHG 绿色 DPBME SE 酒红色 NPB2,5MRO 蓝色,25.98,https://cf.shopee.com.my/file/my-11134207-7rash-m2c8laiuuja750,http://shopee.com.my/product/1053624303/29508885558,摩托车配件,座椅及座椅套,IVCN202509153150,,https://detail.1688.com/offer/872569142058.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,03-13发布,'29508885558,25.98,,1
Wave 125 CNC KDR 油泵,Wave 125 CNC KDR 油泵,10,https://cf.shopee.co.th/file/th-11134207-7rasg-m2fboxtyuvms34,http://shopee.co.th/product/735168598/27217167606,摩托车零配件,燃油系统,IVCN2026011514618,,相似款：https://detail.1688.com/offer/880873018041.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P0,03-13发布,'27217167606,10,最后一周,1
拓路者秋冬摇粒绒立领保暖外套女加绒开衫运动卫衣户外休闲抓绒衣,,179,https://gw.alicdn.com/imgextra/O1CN014mBv5y1U1MFGD9QfQ_!!2213236922457-0-picasso.jpg,,女装,女装卫衣运动衣,46610,,https://item.taobao.com/item.htm?id=735571199164,P0,03-13发布,'735571199164,179,,1
满天星烫钻加绒牛仔裤女,,129,http://img.alicdn.com/img/bao/uploaded/i4/i4/2985500412/O1CN01Pwb2ll1EukHShGEgt_!!2985500412.jpg,,女装,女装牛仔裤,46616,,https://item.taobao.com/item.htm?id=991921116827,P0,03-13发布,'991921116827,129,,1
超火cec风女装新款潮纯色短袖t恤,,27.7,https://picasso.alicdn.com/imgextra/12ed6c/O1CNA1Pimgrender12ed6cO1CN015FvYq227kwE5namXl_!!0-item_pic.jpg?backup_url=O1CN015FvYq227kwE5namXl_!!0-item_pic.jpg&p_context=eyJiaXoiOiJzZWFyY2hNdXRpQ29sb3IiLCJjaGFubmVsIjoid3NlYXJjaGljb24taXRlbSIsIml0ZW1JZCI6IjU5NTAwMTI1NDIzMCIsInBpY1R5cGUiOiJwMTEiLCJyZW5kZXJDb25kaXRpb24iOnt9LCJyZW5kZXJEYXRhIjp7ImNvbG9yMSI6Imh0dHBzOi8vaW1nLmFsaWNkbi5jb20vaW1nZXh0cmEvTzFDTjAxU3RzV1pzMWdUWGN4WldpSXNfISE2MDAwMDAwMDA0MTQzLTAtZmFpYWxnby5qcGciLCJzdWJtYWpvcm9iamVjdCI6Imh0dHBzOi8vZ3cuYWxpY2RuLmNvbS9pbWdleHRyYS9PMUNOMDE1RnZZcTIyN2t3RTVuYW1YbF8hITAtaXRlbV9waWMuanBnIiwiY29sb3IyIjoiaHR0cHM6Ly9pbWcuYWxpY2RuLmNvbS9pbWdleHRyYS9PMUNOMDFVZ203VXMyR0JXQnEyWFFHOF8hITI0NzczNzg5NzctMi1mYWlhbGdvLnBuZyIsImNvbG9yMyI6Imh0dHBzOi8vaW1nLmFsaWNkbi5jb20vaW1nZXh0cmEvTzFDTjAxdFBkZEFPMkdCV0JuYTFDR05fISEyNDc3Mzc4OTc3LTItZmFpYWxnby5wbmcifX0-&sign=12ed6cb3b42c6b5799f753b0c5caa436&v=3.0,,女装,女装T恤,46623,,https://item.taobao.com/item.htm?id=595001254230,P0,03-13发布,'595001254230,27.7,,1
孕妇装中长款打底加厚小个子大码毛衣裙女针织衫连衣裙秋冬款新款,,78,http://img.alicdn.com/img/bao/uploaded/i4/i4/1742913970/O1CN01Z4Lc0U1fCJ9nt2Lzo_!!1742913970.jpg,,女装,女装连衣裙,46635,,https://item.taobao.com/item.htm?id=682665789736,P0,03-13发布,'682665789736,78,,1
黑色马甲背心女2025夏季新款时尚高级感气质西装内搭吊带修身上衣,,49,http://img.alicdn.com/img/bao/uploaded/i4/i2/1801114501/O1CN01rp5zIU1j7Vk4uoVun_!!1801114501.jpg,,女装,女装背心,46642,,https://item.taobao.com/item.htm?id=915932660774,P0,03-13发布,'915932660774,49,,1
独INDULGE 软糯彩曜·秋冬三色花新中式修身黑毛衣女长袖针织开衫,,483,http://img.alicdn.com/img/bao/uploaded/i4/i1/95223081/O1CN01unOXu51Yd9NGNaiXg_!!95223081.jpg,,女装,Ifashion 女装,46652,,https://item.taobao.com/item.htm?id=983039884465,P0,03-13发布,'983039884465,483,,1
朴夫人活力常青藤平底拖鞋拖鞋,,199,http://img.alicdn.com/img/bao/uploaded/i4/i3/2219492487631/O1CN011FFD5B26F3QL8fBao_!!4611686018427384271-0-item_pic.jpg,,女装,女装拖鞋平底鞋,46653,,https://item.taobao.com/item.htm?id=905826027746,P0,03-13发布,'905826027746,199,,1
品牌折扣正品撤柜女装秋季连体裤,,123.99,http://img.alicdn.com/img/bao/uploaded/i4/i4/279827532/O1CN01hiyCwh25ViHRnLMDc_!!279827532.jpg,,女装,女装连体裤,46659,,https://item.taobao.com/item.htm?id=960301784646,P0,03-13发布,'960301784646,123.99,,1
设计感撞色插肩袖辣妹短款上衣,,78.18,http://img.alicdn.com/img/bao/uploaded/i4/i4/2258940643/O1CN01aU27lb1GcXdcCVxDj_!!0-item_pic.jpg,,女装,女装卫衣运动衣,46660,,https://item.taobao.com/item.htm?id=810652533466,P0,03-13发布,'810652533466,78.18,,1
欧洲站2025冬季新款欧货时尚休闲百搭显瘦厚底马丁靴女靴子加绒,,759,http://img.alicdn.com/img/bao/uploaded/i4/i3/86431622/O1CN01H9ober1NqvWgRKk99_!!86431622.jpg,,女装,女装靴子,46663,,https://item.taobao.com/item.htm?id=999236584429,P0,03-13发布,'999236584429,759,,1
蕾丝网纱绣花加绒吊带背心,,38.6,http://img.alicdn.com/img/bao/uploaded/i4/i1/1041032956/O1CN01s4iMKT1XhtsGpSJQE_!!1041032956.jpg,,女装,女装背心,46668,,https://item.taobao.com/item.htm?id=992944542046,P0,03-13发布,'992944542046,38.6,,1
松紧腰加绒加厚保暖直筒休闲裤,,70.39,https://gw.alicdn.com/imgextra/O1CN01ZgETLG28tTfznV6x6_!!65197990-0-picasso.jpg,,女装,女装长裤,46672,,https://item.taobao.com/item.htm?id=990330106835,P0,03-13发布,'990330106835,70.39,,1
秒杀〖杰〗品牌折扣女装夏装荷叶边牛仔抹胸连体裤短裤0H236,,7.02,http://img.alicdn.com/img/bao/uploaded/i4/i3/10028549/O1CN01gPkLcH2D1V0OFVVoe_!!10028549.jpg,,女装,女装连体裤,46675,,https://item.taobao.com/item.htm?id=767840900599,P0,03-13发布,'767840900599,7.02,,1
AMR UU◆时髦好穿 波西米亚编织交叉拖鞋外穿平底凉鞋女夏季新款,,95,http://img.alicdn.com/img/bao/uploaded/i4/i4/548278183/O1CN010Ylwuz2AJrxrSGY4l_!!548278183.jpg,,女装,女装拖鞋平底鞋,46680,,https://item.taobao.com/item.htm?id=798827072587,P0,03-13发布,'798827072587,95,,1
加厚羊羔绒阔腿牛仔裤女秋冬新款,,60.7,http://img.alicdn.com/img/bao/uploaded/i4/i1/286553930/O1CN010ZaVKu1etzdj6yQre_!!286553930.jpg,,女装,女装牛仔裤,46689,,https://item.taobao.com/item.htm?id=991895968129,P0,03-13发布,'991895968129,60.7,,1
大码女装设计感小众刺绣针织马甲,,78,http://img.alicdn.com/img/bao/uploaded/i4/i3/3306776156/O1CN01xluTEj1vLVH7IK8dZ_!!3306776156.jpg,,女装,女装背心,46702,,https://item.taobao.com/item.htm?id=983087076340,P0,03-13发布,'983087076340,78,,1
修身显瘦加厚保暖小脚铅笔裤子,,34.31,http://img.alicdn.com/img/bao/uploaded/i4/i3/1066579200/O1CN01xbZ7YE2Hpefv2CZ7Z_!!1066579200.jpg,,女装,女装长裤,46707,,https://item.taobao.com/item.htm?id=736461463162,P0,03-13发布,'736461463162,34.31,,1
短款棉马甲冬季新款外贸女装百搭纯色修身立领保暖拉链背心19264,,26.39,http://img.alicdn.com/img/bao/uploaded/i4/i2/24193773/O1CN010w9cMJ1dk5SgWOFaC_!!24193773.jpg,,女装,女装背心,46712,,https://item.taobao.com/item.htm?id=994259630581,P0,03-13发布,'994259630581,26.39,,1
MV0806 加绒 窄版阔腿牛仔裤,,119.5,http://img.alicdn.com/img/bao/uploaded/i4/i1/1213246/O1CN01BuKll01ZqijEpqW7J_!!1213246.jpg,,女装,女装牛仔裤,46714,,https://item.taobao.com/item.htm?id=987591363430,P0,03-13发布,'987591363430,119.5,,1
UR2025冬季新款女装复古摩登丝巾腰带喇叭牛仔长裤UWH850106,,194,http://img.alicdn.com/img/bao/uploaded/i4/i2/2104668892/O1CN01CFC9FE2FYave92Nzg_!!2104668892.jpg,,女装,女装长裤,46716,,https://item.taobao.com/item.htm?id=986100936732,P0,03-13发布,'986100936732,194,,1
欧洲站2025冬季欧货女装慵懒感拼色抽绳松紧腰垂感阔腿糯米卫裤女,,149,http://img.alicdn.com/img/bao/uploaded/i4/i3/716032964/O1CN01uIIipP1XlYweaeTcZ_!!716032964.jpg,,女装,女装长裤,46721,,https://item.taobao.com/item.htm?id=849946350203,P0,03-13发布,'849946350203,149,,1
潮牌男鞋2025秋季新款真皮透气运动休闲鞋男厚底老爹鞋华夫阿甘鞋,,245,http://img.alicdn.com/img/bao/uploaded/i4/i3/3436246210/O1CN01bpQQ651vkEeeT63rM_!!3436246210.jpg,,女装,女装休闲鞋,46723,,https://item.taobao.com/item.htm?id=970261969009,P0,03-13发布,'970261969009,245,,1
红人馆羽绒服巨好看的冬装外套,,386.9,http://img.alicdn.com/img/bao/uploaded/i4/i4/57588994/O1CN01YCUCWN2GJJJp9xXGO_!!57588994.jpg,,女装,女装外套,46726,,https://item.taobao.com/item.htm?id=955273198252,P0,03-13发布,'955273198252,386.9,,1
高级色系~鱼肚白！一体发热特绒 四面弹高腰显瘦加绒直筒牛仔裤,,271,http://img.alicdn.com/img/bao/uploaded/i4/i4/128572994/O1CN0123bv4z1XzIvVbRTkA_!!128572994.jpg,,女装,女装牛仔裤,46728,,https://item.taobao.com/item.htm?id=995741333474,P0,03-13发布,'995741333474,271,,1
秋冬加绒高档显瘦黑灰色高腰阔腿牛仔裤休闲百搭弯刀裤时尚休闲裤,,98.8,http://img.alicdn.com/img/bao/uploaded/i4/i3/2472053851/O1CN01dZSDZ71eJoLm3jQAw_!!2472053851.png,,女装,女装长裤,46730,,https://item.taobao.com/item.htm?id=991514784204,P0,03-13发布,'991514784204,98.8,,1
裂渡微胖大码女装【自在通勤】运动风撞色连帽卫衣抽绳休闲裤套装,,175.9,http://img.alicdn.com/img/bao/uploaded/i4/i4/2213931513003/O1CN01CXmUJN1Y3QUs72C88_!!2213931513003.jpg,,女装,女装卫衣运动衣,46731,,https://item.taobao.com/item.htm?id=978056989218,P0,03-13发布,'978056989218,175.9,,1
优衣库女装针织迷你连衣裙高领,,149,http://img.alicdn.com/img/bao/uploaded/i4/i4/196993935/O1CN01MStZgg1ewHbszFi4V_!!4611686018427380623-0-item_pic.jpg,,女装,女装连衣裙,46734,,https://item.taobao.com/item.htm?id=942588625566,P0,03-13发布,'942588625566,149,,1
配腰带紧身胸衣式牛仔连体裤,,86,http://img.alicdn.com/img/bao/uploaded/i4/i4/2050009798/O1CN01LEkwzz2MFXVatwgL3_!!2050009798.jpg,,女装,女装连体裤,46738,,https://item.taobao.com/item.htm?id=728193385155,P0,03-13发布,'728193385155,86,,1
基础款无袖小背心外穿吊带上衣,,29.98,http://img.alicdn.com/img/bao/uploaded/i4/i4/2170746564/O1CN01NNnCQo1yMMjb23hp3_!!2170746564.jpg,,女装,女装背心,46739,,https://item.taobao.com/item.htm?id=798694250140,P0,03-13发布,'798694250140,29.98,,1
品牌时装靴秋冬超高跟短靴女防水台粗跟短筒女靴子加绒女式棉皮鞋,,129,http://img.alicdn.com/img/bao/uploaded/i4/i4/2210538723348/O1CN01ts2hlm1abR88ex51x_!!2210538723348.jpg,,女装,女装靴子,46744,,https://item.taobao.com/item.htm?id=991127718243,P0,03-13发布,'991127718243,129,,1
洋气独特别致上衣今年流行爆款,,78.3,http://img.alicdn.com/img/bao/uploaded/i4/i2/2202600873766/O1CN01cCmCXt1dgsgYkunE1_!!4611686018427387686-0-item_pic.jpg,,女装,女装背心,46745,,https://item.taobao.com/item.htm?id=990764506757,P0,03-13发布,'990764506757,78.3,,1
宽松哈伦牛仔裤女秋冬新款2025年,,69,http://img.alicdn.com/img/bao/uploaded/i4/i2/2212410059416/O1CN01e5o6q62JQaOJyidDy_!!2212410059416.jpg,,女装,女装牛仔裤,46746,,https://item.taobao.com/item.htm?id=742099949201,P0,03-13发布,'742099949201,69,,1
大码高腰弹力加绒窄版直筒牛仔裤女冬胖mm宽松显瘦爱心刺绣拖地裤,,87.1,"http://img.alicdn.com/img/bao/uploaded/i4/i4/2481833952/O1CN01egdsYc1f44MMyaTL8~crop,0,258,1440,1440~_!!2481833952.jpg",,女装,女装牛仔裤,46759,,https://item.taobao.com/item.htm?id=990157470927,P0,03-13发布,'990157470927,87.1,,1
女士T恤8码蓝色秋季新款简约纯色长袖套头,,29.99,http://img.alicdn.com/img/bao/uploaded/i4/i3/2681310454/O1CN01W8xq5l1FDyoEgd1PY_!!2681310454.jpg,,女装,女装T恤,46766,,https://item.taobao.com/item.htm?id=837838688830,P0,03-13发布,'837838688830,29.99,,1
女士双面绒打底衫高领长袖T恤,,58,http://img.alicdn.com/img/bao/uploaded/i4/i3/51486753/O1CN01501VBX1zkvjYaCVZO_!!51486753.jpg,,女装,女装T恤,46772,,https://item.taobao.com/item.htm?id=992147024099,P0,03-13发布,'992147024099,58,,1
法国加绒加厚卫衣轻奢,,188,http://img.alicdn.com/img/bao/uploaded/i4/i3/2200692100124/O1CN01t7SXcG1Cmpt41Wh0g_!!2200692100124.jpg,,女装,女装卫衣运动衣,46773,,https://item.taobao.com/item.htm?id=681547037366,P0,03-13发布,'681547037366,188,,1
欧洲站2025冬季新款欧货时尚休闲百搭显瘦厚底雪地靴女靴子马丁靴,,589,http://img.alicdn.com/img/bao/uploaded/i4/i3/86431622/O1CN01MXKHuq1NqvWZoHIwl_!!86431622.jpg,,女装,女装靴子,46775,,https://item.taobao.com/item.htm?id=994775951880,P0,03-13发布,'994775951880,589,,1
秋冬加绒加厚小黑裤微胖MM,,79,http://img.alicdn.com/img/bao/uploaded/i4/i4/533594176/O1CN013Z1fzA1gif4QASypb_!!533594176.jpg,,女装,女装牛仔裤,46786,,https://item.taobao.com/item.htm?id=989425717030,P0,03-13发布,'989425717030,79,,1
小俪大码 弹力条纹立领内搭上衣,,92,http://img.alicdn.com/img/bao/uploaded/i4/i2/39151928/O1CN01MTzNHG1Q74iRhxoVH_!!39151928.jpg,,女装,女装T恤,46787,,https://item.taobao.com/item.htm?id=976114419028,P0,03-13发布,'976114419028,92,,1
腿粗闭眼入超显腿直微喇裤,,69.3,http://img.alicdn.com/img/bao/uploaded/i4/i4/2654157625/O1CN01CRR17a26CJ6O9E77N_!!2654157625.jpg,,女装,女装牛仔裤,46801,,https://item.taobao.com/item.htm?id=990435729382,P0,03-13发布,'990435729382,69.3,,1
波西米亚复古刺绣马甲小众上衣女,,66.1,http://img.alicdn.com/img/bao/uploaded/i4/i4/2649366968/O1CN014knoKw21LOpQTIa6D_!!2649366968.jpg,,女装,女装背心,46806,,https://item.taobao.com/item.htm?id=900960783085,P0,03-13发布,'900960783085,66.1,,1
黑色覆古英伦风厚底高跟短靴女2025新款夏季配裙子增高小个子靴子,,111,http://img.alicdn.com/img/bao/uploaded/i4/i4/2217929658081/O1CN016QWPwW29Z9hsZEOS7_!!2217929658081.jpg,,女装,女装靴子,46808,,https://item.taobao.com/item.htm?id=989366912756,P0,03-13发布,'989366912756,111,,1
MassimoDutti花朵针织吊带,,320,http://img.alicdn.com/img/bao/uploaded/i4/i4/2183380830/O1CN01FhzKfz1I0BqWGxeF2_!!2183380830.jpg,,女装,女装背心,46811,,https://item.taobao.com/item.htm?id=952990263583,P0,03-13发布,'952990263583,320,,1
棕色厚底2022年新款秋冬小个子长筒靴子马丁靴女鞋高筒靴骑士靴女,,92.27,http://img.alicdn.com/img/bao/uploaded/i4/i1/2642833761/O1CN01HLZdG71deaiI8aCUL_!!2642833761.jpg,,女装,女装靴子,46822,,https://item.taobao.com/item.htm?id=1000988714882,P0,03-13发布,'1000988714882,92.27,,1
拉夏贝尔黑色加绒微喇牛仔裤女秋冬新款宽松加厚不贴腿马蹄喇叭裤,,79.1,http://img.alicdn.com/img/bao/uploaded/i4/i3/115928629/O1CN01fSHI4c2Dc8kqbf5I0_!!115928629.jpg,,女装,女装牛仔裤,46826,,https://item.taobao.com/item.htm?id=991719267814,P0,03-13发布,'991719267814,79.1,,1
冬天毛呢短裤女秋短裤休闲阔腿裤,,78.3,http://img.alicdn.com/img/bao/uploaded/i4/i2/2040997728/O1CN01cx6ePr26xTn5Zn6VT_!!0-item_pic.jpg,,女装,女装短裤,46830,,https://item.taobao.com/item.htm?id=839511864164,P0,03-13发布,'839511864164,78.3,,1
胖mm设计感荡领长袖t恤早秋上衣,,62.9,http://img.alicdn.com/img/bao/uploaded/i4/i4/816039967/O1CN01zgP8fj2NUwg5LbfCJ_!!816039967.jpg,,女装,女装T恤,46835,,https://item.taobao.com/item.htm?id=977577560414,P0,03-13发布,'977577560414,62.9,,1
忠犬小八梨形深蓝色牛仔裤,,104,http://img.alicdn.com/img/bao/uploaded/i4/i3/52371042/O1CN01ee9mEW1JZHnmyGqBn_!!52371042.jpg,,女装,女装牛仔裤,46837,,https://item.taobao.com/item.htm?id=984108415820,P0,03-13发布,'984108415820,104,,1
